,bias_bits,row,v_nodes,c_nodes,ts_size,sim_index,snr
130,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[22 43 55 63 70 81 83 95],[ 0  5  8  9 16 17 18 29 33 38 39 46],"[8.0, 12.0]",20,5
131,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[22 81 95],[ 9 18 21 29 33 34 39],"[3.0, 7.0]",21,5
132,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[22 63],[ 5 14 21 29 34 46],"[2.0, 6.0]",22,5
133,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[ 4 22 34 43 55 70],[ 0  8 16 29 38 42],"[6.0, 6.0]",23,5
134,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[ 4 22 56 63 70 95],[ 2  5  9 14 18 21 29 30 33 34],"[6.0, 10.0]",24,5
135,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[43 67 95],[ 2 16 18 27 33],"[3.0, 5.0]",25,5
136,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[34 70 81],[ 2  8 14 21 38 39 42],"[3.0, 7.0]",26,5
137,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[ 4 43 55 70 83],[ 0  8 14 16 17 18 34 38 46],"[5.0, 9.0]",27,5
138,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[ 4 34 63 70 81 83 95],[ 2  5  9 17 33 38 39 42 46],"[7.0, 9.0]",28,5
139,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[ 4 43 55 56 63],[ 0  2  5 16 21 30 34 38 46],"[5.0, 9.0]",29,5
140,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[ 5 51 72],[15 16 26 29 37],"[3.0, 5.0]",0,5
141,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[30 51 94],[12 16 23 26 37 38 41],"[3.0, 7.0]",1,5
142,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[ 5 32],[ 1  7 16 23],"[2.0, 4.0]",2,5
143,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[ 5 60 72 88],[ 1 12 13 15 20 29 33 37],"[4.0, 8.0]",3,5
144,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[32 46 72],[ 1  7 15 23 40],"[3.0, 5.0]",4,5
145,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[32 51 72],[ 1  7 15 23 26 29 37],"[3.0, 7.0]",5,5
146,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[60 72 94],[ 1 12 15 20 23 29 38],"[3.0, 7.0]",6,5
147,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[ 5 30 32 72],[ 1  7 12 15 23 29 33 41],"[4.0, 8.0]",7,5
148,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[ 5 30 60 94],[20 23 38 41],"[4.0, 4.0]",8,5
149,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[ 5 30 51 60 88],[13 16 20 26 41],"[5.0, 5.0]",9,5
150,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[32 51 60 88 94],[ 7 12 13 16 20 26 38],"[5.0, 7.0]",10,5
151,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[46 60 72],[ 1 12 15 20 40],"[3.0, 5.0]",11,5
152,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[ 5 30 46 60 94],[ 1 20 23 29 38 40 41],"[5.0, 7.0]",12,5
153,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[ 5 30 46 60 88],[13 16 20 29 37 40 41],"[5.0, 7.0]",13,5
154,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[51 94],[23 26 37 38],"[2.0, 4.0]",14,5
155,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[ 5 32 72 94],[ 7 15 16 29 33 38],"[4.0, 6.0]",15,5
156,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[51 72 88 94],[13 15 16 23 26 29 33 38],"[4.0, 8.0]",16,5
157,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[88],[13 16 37],"[1.0, 3.0]",17,5
158,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[30 32 72 88 94],[ 1  7 12 13 15 29 37 38 41],"[5.0, 9.0]",18,5
159,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[30 46 88 94],[12 13 23 29 37 38 40 41],"[4.0, 8.0]",19,5
160,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[ 5 32 51],[ 7 16 23 26 37],"[3.0, 5.0]",20,5
161,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[30 32 46 51 60 88 94],[ 1  7 13 20 26 29 38 40 41],"[7.0, 9.0]",21,5
162,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[46 51 60],[12 20 26 29 33 37 40],"[3.0, 7.0]",22,5
163,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[ 5 51 60 94],[ 1 12 16 20 23 26 37 38],"[4.0, 8.0]",23,5
164,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]",5,[51 88 94],[13 16 23 26 38],"[3.0, 5.0]",24,5
