,v_nodes,ts_size,c_nodes,bias_bits,row,snr,sim_index
141,[ 9 59],"[2.0, 4.0]",[24 25 34 44],"[4.0, 9.0, 24.0, 27.0, 29.0, 34.0, 37.0, 43.0, 55.0, 56.0, 59.0, 70.0]",70,10,1
142,[10 16 86],"[3.0, 5.0]",[ 6 10 13 31 34],"[10.0, 11.0, 13.0, 16.0, 31.0, 49.0, 71.0, 86.0]",71,10,0
143,[10 16 49],"[3.0, 7.0]",[ 3 10 13 22 30 31 43],"[10.0, 11.0, 13.0, 16.0, 31.0, 49.0, 71.0, 86.0]",71,10,1
144,[ 5 19 46 52 89],"[5.0, 7.0]",[ 0  7 15 16 40 41 44],"[0.0, 5.0, 19.0, 32.0, 46.0, 52.0, 57.0, 72.0, 89.0, 95.0]",72,10,0
145,[ 5 19 46 52 89],"[5.0, 7.0]",[ 0  7 15 16 40 41 44],"[0.0, 5.0, 19.0, 32.0, 46.0, 52.0, 57.0, 72.0, 89.0, 95.0]",72,10,1
146,[15 30 38 88],"[4.0, 8.0]",[12 13 17 24 34 37 40 41],"[3.0, 12.0, 15.0, 25.0, 26.0, 30.0, 38.0, 73.0, 88.0]",73,10,0
147,[15 30 38 88],"[4.0, 8.0]",[12 13 17 24 34 37 40 41],"[3.0, 12.0, 15.0, 25.0, 26.0, 30.0, 38.0, 73.0, 88.0]",73,10,1
148,[ 8 63 81],"[3.0, 7.0]",[ 3  5 14 26 35 39 46],"[8.0, 29.0, 33.0, 37.0, 48.0, 50.0, 63.0, 74.0, 81.0, 83.0]",74,10,0
149,[ 8 29 33 74 81],"[5.0, 7.0]",[ 3  5 14 24 35 38 39],"[8.0, 29.0, 33.0, 37.0, 48.0, 50.0, 63.0, 74.0, 81.0, 83.0]",74,10,1
150,[33 43],"[2.0, 6.0]",[ 2  5 16 24 35 46],"[14.0, 33.0, 43.0, 59.0, 63.0, 75.0, 89.0]",75,10,0
151,[33 43],"[2.0, 6.0]",[ 2  5 16 24 35 46],"[14.0, 33.0, 43.0, 59.0, 63.0, 75.0, 89.0]",75,10,1
152,[30 36 49 82],"[4.0, 10.0]",[ 3  7 12 13 16 20 22 26 40 43],"[8.0, 11.0, 30.0, 36.0, 49.0, 52.0, 60.0, 76.0, 82.0]",76,10,0
153,[30 36 49 82],"[4.0, 10.0]",[ 3  7 12 13 16 20 22 26 40 43],"[8.0, 11.0, 30.0, 36.0, 49.0, 52.0, 60.0, 76.0, 82.0]",76,10,1
154,[35 81],"[2.0, 6.0]",[ 0 14 19 21 39 45],"[7.0, 22.0, 24.0, 31.0, 35.0, 41.0, 50.0, 77.0, 81.0, 85.0, 93.0]",77,10,0
