,ts_size,snr,row,c_nodes,v_nodes,sim_index
61,"[9.0, 7.0]",10,30,[ 0  1  3 16 19 26 40],[ 5 15 30 36 60 73 76 80 88],1
62,"[9.0, 11.0]",10,31,[ 0  3 10 13 14 17 28 29 42 43 44],[ 7 10 31 42 49 65 71 77 85],0
63,"[9.0, 11.0]",10,31,[ 0  3 10 13 14 17 28 29 42 43 44],[ 7 10 31 42 49 65 71 77 85],1
64,"[11.0, 9.0]",10,32,[ 4  8 12 13 15 16 19 23 38],[ 5  6 12 32 52 60 61 68 72 82 94],0
65,"[11.0, 9.0]",10,32,[ 4  8 12 13 15 16 19 23 38],[ 5  6 12 32 52 60 61 68 72 82 94],1
66,"[10.0, 10.0]",10,33,[ 2  3  5  6  8 11 16 27 35 42],[ 8 14 20 33 59 63 69 74 75 84],0
67,"[10.0, 10.0]",10,33,[ 2  3  5  6  8 11 16 27 35 42],[ 8 14 20 33 59 63 69 74 75 84],1
68,"[6.0, 6.0]",10,34,[ 2  5  8 14 17 18],[ 4 29 34 70 83 84],0
69,"[6.0, 6.0]",10,34,[ 2  5  8 14 17 18],[ 4 29 34 70 83 84],1
70,"[8.0, 8.0]",10,35,[ 0  7 13 14 19 29 32 36],[ 7 12 13 35 54 77 79 85],0
71,"[8.0, 8.0]",10,35,[ 0  7 13 14 19 29 32 36],[ 7 12 13 35 54 77 79 85],1
72,"[11.0, 9.0]",10,36,[ 1  5 12 20 26 31 35 38 47],[ 6  8 16 29 30 36 51 61 76 84 88],0
73,"[11.0, 9.0]",10,36,[ 1  5 12 20 26 31 35 38 47],[ 6  8 16 29 30 36 51 61 76 84 88],1
74,"[12.0, 8.0]",10,37,[ 5  6 16 18 21 24 34 35],[20 24 29 37 56 62 63 64 70 74 81 86],0
75,"[12.0, 8.0]",10,37,[ 5  6 16 18 21 24 34 35],[20 24 29 37 56 62 63 64 70 74 81 86],1
76,"[5.0, 7.0]",10,38,[ 7 10 12 17 19 22 34],[26 38 65 73 91],0
77,"[5.0, 7.0]",10,38,[ 7 10 12 17 19 22 34],[26 38 65 73 91],1
78,"[5.0, 5.0]",10,39,[ 3  6 11 22 35],[ 8 39 49 64 92],0
79,"[5.0, 5.0]",10,39,[ 3  6 11 22 35],[ 8 39 49 64 92],1
80,"[5.0, 5.0]",10,40,[ 2  7 15 25 38],[ 2 23 26 40 93],0
81,"[5.0, 5.0]",10,40,[ 2  7 15 25 38],[ 2 23 26 40 93],1
82,"[5.0, 5.0]",10,41,[ 2 19 40 45 47],[12 41 77 82 93],0
83,"[5.0, 5.0]",10,41,[ 2 19 40 45 47],[12 41 77 82 93],1
84,"[11.0, 11.0]",10,42,[10 12 13 17 18 19 22 28 29 31 44],[ 1 13 17 27 31 42 49 54 65 85 91],0
85,"[11.0, 11.0]",10,42,[10 12 13 17 18 19 22 28 29 31 44],[ 1 13 17 27 31 42 49 54 65 85 91],1
86,"[9.0, 3.0]",10,43,[14 16 38],[ 4 20 24 43 59 62 63 70 75],0
87,"[9.0, 3.0]",10,43,[14 16 38],[ 4 20 24 43 59 62 63 70 75],1
