,row,v_nodes,c_nodes,ts_size,snr,sim_index
51,25,[ 3 10 12 15 25 45 54 57 68 69 73 82 87],[15 19 20 21 23 30 32 35 40 42 47],"[13.0, 11.0]",10,1
52,26,[ 2  3  4  5 12 26 38 40 73],[ 1 11 14 16 17 18 21 28 33 34 38 46 47],"[9.0, 13.0]",10,0
53,26,[ 2  3  4  5 12 26 38 40 73],[ 1 11 14 16 17 18 21 28 33 34 38 46 47],"[9.0, 13.0]",10,1
54,27,[ 0  1  2  3  4  5 27 42 49 59 70 90],[ 1  3  4  9 10 11 14 15 16 17 18 21 24 29 33 36 37 39 43 46],"[12.0, 20.0]",10,0
55,27,[ 0  1  2 27 42 49 59 70 90],[ 3  4  9 10 15 17 24 29 36 39 43],"[9.0, 11.0]",10,1
56,28,[ 0  6 28 50 63 64 81 84],[ 5  6  9 14 28 29 39 41 42 46],"[8.0, 10.0]",10,0
57,28,[ 0  6 28 50 63 64 81 84],[ 5  6  9 14 28 29 39 41 42 46],"[8.0, 10.0]",10,1
58,29,[ 0  2  3  4  5  6  8  9 13 29 34 36 37 50 51 64 70 74 83 84 94],[ 1  3  5  9 11 14 15 16 18 21 22 25 28 29 33 34 38 39 45],"[21.0, 19.0]",10,0
59,29,[ 0  2  3  4  5  6  8  9 13 29 34 36 37 50 51 64 70 74 83 84 94],[ 1  3  5  9 11 14 15 16 18 21 22 25 28 29 33 34 38 39 45],"[21.0, 19.0]",10,1
60,30,[ 2  3  5  6  7  8 15 30 36 60 73 76 80 88],[ 1  8 11 15 16 17 19 21 23 28 32 35 37 38 40 41],"[14.0, 16.0]",10,0
61,30,[ 2  3  5  6  7  8 15 30 36 60 73 76 80 88],[ 1  8 11 15 16 17 19 21 23 28 32 35 37 38 40 41],"[14.0, 16.0]",10,1
62,31,[ 1  2  3  5  7 10 31 42 49 65 71 77 85],[ 0  1  3  4 10 11 13 14 15 16 21 28 29 31 33 37 38 42 43],"[13.0, 19.0]",10,0
63,31,[ 0  2  4  7  8 10 31 42 49 65 71 77 85],[ 0  9 10 13 15 18 26 28 35 38 39 42 43 44 46],"[13.0, 15.0]",10,1
64,32,[ 0  2  5  6  8 12 32 52 60 61 68 72 82 94],[ 3  4  8  9 12 13 16 17 19 23 26 29 35 39],"[14.0, 14.0]",10,0
65,32,[ 0  2  5  6  8 12 32 52 60 61 68 72 82 94],[ 3  4  8  9 12 13 16 17 19 23 26 29 35 39],"[14.0, 14.0]",10,1
66,33,[ 7  8 14 20 33 59 63 69 74 75 84],[ 0  2  3  5  6  8 11 16 27 28 32 35 42],"[11.0, 13.0]",10,0
67,33,[ 7  8 14 20 33 59 63 69 74 75 84],[ 0  2  3  5  6  8 11 16 27 28 32 35 42],"[11.0, 13.0]",10,1
68,34,[ 4 29 34 70 83 84],[ 2  5  8 14 17 18],"[6.0, 6.0]",10,0
69,34,[ 0  4 29 34 70 83 84],[ 2  5  8  9 14 17 18 29 39],"[7.0, 9.0]",10,1
70,35,[ 0  4  7 12 13 35 54 77 79 85],[ 0  7  9 13 18 19 32 36 39 46],"[10.0, 10.0]",10,0
71,35,[ 0  4  7 12 13 35 54 77 79 85],[ 0  7  9 13 18 19 32 36 39 46],"[10.0, 10.0]",10,1
72,36,[ 2  4  5  6  7  8 16 29 30 36 51 61 76 84 88],[ 0  5 12 14 15 16 17 18 20 26 28 31 32 33 35 46 47],"[15.0, 17.0]",10,0
73,36,[ 2  4  5  6  7  8 16 29 30 36 51 61 76 84 88],[ 0  5 12 14 15 16 17 18 20 26 28 31 32 33 35 46 47],"[15.0, 17.0]",10,1
74,37,[ 2  3  4  5  7 20 24 29 37 56 62 63 64 70 74 81 86],[ 0  1  5  6 11 14 15 17 24 28 32 33 34 35 37 38 46],"[17.0, 17.0]",10,0
75,37,[ 0  6  8  9 11 20 24 29 37 56 62 63 64 70 74 81 86],[ 2  3  5  8  9 16 18 20 21 23 24 25 26 29 39 41 43],"[17.0, 17.0]",10,1
76,38,[ 0 26 38 65 73 91],[ 7  9 10 12 17 19 22 29 34 39],"[6.0, 10.0]",10,0
77,38,[ 0 26 38 65 73 91],[ 7  9 10 12 17 19 22 29 34 39],"[6.0, 10.0]",10,1
78,39,[ 8 39 49 64 92],[ 3  6 11 22 35],"[5.0, 5.0]",10,0
79,39,[ 8 39 49 64 92],[ 3  6 11 22 35],"[5.0, 5.0]",10,1
80,40,[ 2 23 26 40 93],[ 2  7 15 25 38],"[5.0, 5.0]",10,0
81,40,[ 1  2 23 26 40 93],[ 2  4  7 15 25 31 38 44],"[6.0, 8.0]",10,1
82,41,[ 1 12 41 77 82 93],[ 2  4 19 31 40 44 45 47],"[6.0, 8.0]",10,0
83,41,[ 1 12 41 77 82 93],[ 2  4 19 31 40 44 45 47],"[6.0, 8.0]",10,1
84,42,[ 1  2  3  4  5  6 10 13 17 27 31 42 49 54 65 85 91],[ 1  8 11 12 13 14 15 16 19 21 22 23 28 29 30 31 33 37 38 41 42 44 46],"[17.0, 23.0]",10,0
